Title,Family,Synonyms,Common Names,Origin,Growth Habit,Earliest Record,Tool Used For Assessment,Predictive Tool Score,North,Central,South,Assessment Dates,Counties,Questionnaires
Tabernaemontana divaricata,Apocynaceae,,"Cape jasmine, crepe-jasmine, pinwheel flower","Asia Temperate, Asia Tropical","Shrub, Tree",1938,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 29, 2016",1,
Taeniatherum caput-medusae,Poaceae,,Medusahead,"Africa, Asia Temperate, Asia Tropical, Europe",Shrub,,Predictive Tool,27,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-11,0,
Tagetes erecta,Asteraceae,,"American marigold, African marigold, Aztec marigold, common marigold","Central America, North America-Mexico, South America",Forb/Herb,1966,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007May 5, 2017",6,
Talipariti tiliaceum,Malvaceae,Hibiscus tiliaceus,"Mahoe, sea hibiscus","Africa, Asia Temperate, Asia Tropical, Australasia, Pacific","Shrub, Tree",1931,Status Assessment,N/A,Not a problem species (un-documented),Invasive (No Uses),Invasive (No Uses),"Jan 1, 2004May 26, 2015",11,
Tamarindus indica,Fabaceae,,Tamarind,"Africa, Asia Temperate",Tree,1929,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2005May 26, 2015",5,
Tamarix canariensis,Tamaricaceae,"Tamarix gallica var. canariensis, Tamarix balansae var. micrantha, Tamarix brachystylis, Tamarix brachystylis var. geyrii, Tamarix brachystylis var. sanguinea","Tamarisk, Canary Island tamarisk","Africa, Europe","Shrub, Tree",1933,Status Assessment,N/A,Invasive (No Uses),Caution,Caution,6-Feb-19,0,
Tarenaya hassleriana,Brassicaceae,"Cleome hassleriana, Cleome arborea","Pink queen spiderflower, pink queen, spider flower,",South America,Forb/Herb,,,N/A,,,,,0,
Tecoma capensis,Bignoniaceae,,Cape honeysuckle,Africa,"Shrub, Vine",1931,Status Assessment,9,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),1-Jan-07,15,
Tecoma stans,Bignoniaceae,,"Yellow elder, yellow trumpetbush, yellow trumpetflower","Central America, North America-Mexico, South America","Shrub, Tree",,Predictive Tool,16,High Invasion Risk,High Invasion Risk,High Invasion Risk,15-Oct-18,6,
Tectaria incisa,Tectariaceae,,Incised halberd fern,"Central America, North America-Mexico, South America",Forb/Herb,1976,Status Assessment,N/A,Not a problem species (un-documented),Invasive (No Uses),Invasive (No Uses),1-Jan-06,3,
Terminalia arjuna,Combretaceae,,Arjuna,Asia Tropical,Tree,1911,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jan 18, 2017",1,
Terminalia buceras,Combretaceae,Bucida buceras,"Black olive, Gregorywood, oxhorn bucida","Central America, North America-Mexico, South America",Tree,1886,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Caution,"Jan 1, 2006Jan 1, 2012",6,
Terminalia catappa,Combretaceae,,"India-almond, tropical-almond, West Indian almond","Africa, Asia Temperate, Asia Tropical, Australasia, Pacific","Shrub, Tree",1886,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Caution,"Jan 1, 2005Jan 1, 2012Jun 29, 2016",5,
Terminalia muelleri,Combretaceae,,"Australian almond, Mueller's tropical-almond",Australasia,Tree,1930,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2005Jan 1, 2012Jun 29, 2016",7,
Ternstroemia gymnanthera,Pentaphylacaceae,,"Cleyera, Japanese cleyera, Japanese ternstroemia","Asia Temperate, Asia Tropical","Shrub, Tree",1942,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 6, 2016",1,
Tetragonia tetragonioides,Aizoaceae,,New Zealand spinach,"Asia Temperate, Australasia","Forb/Herb, Subshrub",1978,Status Assessment,N/A,Not a problem species (documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,0,
Tetrapanax papyriferus,Araliaceae,Tetrapanax papyrifer,Ricepaper plant,Asia Temperate,Tree,1933,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 26, 2015",11,
Thelypteris dentata,Thelypteridaceae,Thelypteris reducta,"Downy Maiden Fern, Downy Shield Fern",Unknown,Forb/Herb,1919,Status Assessment,N/A,Not a problem species (documented),Caution,Caution,"Jan 1, 2007Jan 1, 2012",40,
Thespesia populnea,Malvaceae,,"Seaside mahoe, portia tree","Africa, Asia Temperate, Asia Tropical, Australasia, Central America, North America-Mexico, Pacific, South America","Aquatic, Shrub, Tree",1930,Status Assessment,N/A,Not a problem species (un-documented),Invasive (No Uses),Invasive (No Uses),"Jan 1, 2003Aug 21, 2014",11,
Thevetia peruviana,Apocynaceae,,Luckynut,"Central America, North America-Mexico, South America","Shrub, Tree",,,N/A,,,,,4,
Thinopyrum intermedium,Poaceae,"Agropyron aucheri, Agropyron ciliatiflorum, Agropyron gentryi, Agropyron glaucum, Agropyron intermedium",Intermediate wheatgrass,"Asia Temperate, Asia Tropical",Graminoid,,Predictive Tool,4,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,16-Oct-18,0,
Thunbergia erecta,Acanthaceae,,"Bush clockvine, king's mantle",Africa,"Shrub, Vine",1937,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 20, 2018",1,
Thunbergia fragrans,Acanthaceae,,"Sweet clock-vine, white thunbergia, whitelady","Asia Temperate, Asia Tropical",Vine,1927,Status Assessment,7,Not a problem species (un-documented),Not a problem species (documented),Not a problem species (documented),"Jan 1, 2006Nov 1, 2016",13,
Thunbergia grandiflora,Acanthaceae,,"Bengal clock vine, blue trumpet vine, blue sky vine","Asia Temperate, Asia Tropical",Vine,1931,Status Assessment,9,Not a problem species (un-documented),Not a problem species (documented),Not a problem species (documented),"Jan 1, 2006Nov 1, 2016",5,
Thysanolaena latifolia,Poaceae,"Melica latifolia, Agrostis maxima, Thysanolaena maxima",Tiger grass,"Asia Temperate, Asia Tropical",Graminoid,,Predictive Tool,11,High Invasion Risk,High Invasion Risk,High Invasion Risk,20-Mar-14,0,
Tibouchina urvilleana,Melastomataceae,,"Glory bush, princessflower",South America,"Shrub, Tree",,Predictive Tool,13,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-13,0,
Tithonia diversifolia,Asteraceae,Mirasolia diversifolia,"Mexican sunflower, tree marigold, shrub sunflower",Central America,"Forb/Herb, Subshrub",,Predictive Tool,24,High Invasion Risk,High Invasion Risk,High Invasion Risk,20-Oct-16,12,
Torenia fournieri,Linderniaceae,,"Bluewings, torenia, wishbone flower",Asia Tropical,Forb/Herb,1970,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,5,
Trachelospermum asiaticum,Apocynaceae,Trachelospermum asiaticum var. oblanceolatum,"Dwarf jasmine, Japanese star jasmine, small-leaf confederate jasmine","Asia Temperate, Asia Tropical",Vine,1969,Status Assessment,-3,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2006Oct 31, 2016",0,
Trachelospermum jasminoides,Apocynaceae,,"Confederate jasmine, star jasmine","Asia Temperate, Asia Tropical",Vine,1910,Status Assessment,-3,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2005May 26, 2015",6,
Tradescantia fluminensis,Commelinaceae,,"White-flowered wandering Jew, small leafed spiderwort",South America,Forb/Herb,1929,Status Assessment,N/A,Invasive (No Uses),Invasive (No Uses),Not a problem species (documented),1-Jan-06,16,
Tradescantia pallida,Commelinaceae,Setcreasea purpurea,Purplequeen,North America-Mexico,Forb/Herb,1958,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Oct 31, 2016",10,
Tradescantia spathacea,Commelinaceae,Rhoeo spathacea,"Oyster plant, boat lilly","Central America, North America-Mexico",Forb/Herb,1964,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Invasive (No Uses),"Jan 1, 2005May 26, 2015",9,
Tradescantia zebrina,Commelinaceae,,"Inchplant, wandering Jew",North America-Mexico,Forb/Herb,1929,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Invasive,"Jan 1, 2005May 26, 2015",12,
Trema orientalis,Cannabaceae,Trema guineensis,"African elm, charcoal tree","Africa, Asia Temperate, Asia Tropical, Australasia",Tree,,Predictive Tool,13,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-11,5,
Triadica sebifera,Euphorbiaceae,Sapium sebiferum,"Chinese tallow tree, popcorn tree","Asia Temperate, Asia Tropical",Tree,1941,,N/A,Prohibited,Prohibited,Prohibited,,44,
Tribulus cistoides,Zygophyllaceae,,"Burrnut, Jamaican feverplant, punctureweed","Africa, Asia Tropical, Australasia","Forb/Herb, Subshrub, Vine",1877,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2005Jan 1, 2012May 28, 2015",21,
Tribulus terrestris,Zygophyllaceae,,"Caltrop, puncturevine","Africa, Asia Temperate, Asia Tropical, Australasia, Europe",Forb/Herb,,,N/A,,,,,14,
Tridax procumbens,Asteraceae,,"Brittleweed, coatbuttons","Central America, North America-Mexico, South America",Forb/Herb,1947,,N/A,Prohibited,Prohibited,Prohibited,,28,
Trifolium hirtum,Fabaceae,,"Hairy clover, rose clover","Africa, Asia Temperate, Europe",Forb/Herb,1986,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 5, 2017",1,
Trifolium hybridum ,Fabaceae,,Alsike clover,"Africa, Asia Temperate, Europe",Forb/Herb,1931,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 5, 2017",5,
Trifolium incarnatum,Fabaceae,,Crimson clover,"Africa, Asia Temperate, Europe",Forb/Herb,1950,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 5, 2017",21,
Trifolium nigrescens,Fabaceae,,"Ball clover, small white clover","Africa, Asia Temperate, Europe",Forb/Herb,1974,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 5, 2017",12,
Trifolium pratense,Fabaceae,,Red clover,"Africa, Asia Temperate, Asia Tropical, Europe",Forb/Herb,1963,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 5, 2017",10,
Trifolium repens,Fabaceae,,"Dutch clover, white clover","Africa, Asia Temperate, Asia Tropical, Europe",Forb/Herb,1915,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 5, 2017",57,
Trifolium resupinatum,Fabaceae,,"Persian clover, reversed clover","Africa, Asia Temperate, Asia Tropical, Europe",Forb/Herb,1960,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 5, 2017",7,
Trifolium vesiculosum,Fabaceae,,Arrowleaf clover,"Asia Temperate, Europe",Forb/Herb,1973,Status Assessment,N/A,Not a problem species (documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 5, 2017",10,
Triphasia trifolia,Rutaceae,,Limeberry,Unknown,"Shrub, Tree",1901,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012May 28, 2015",3,
Tulbaghia violacea,Amaryllidaceae,,Society garlic,Africa,"Forb/Herb, Unknown",1993,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 1, 2016",0,
Tulipa gesneriana,Liliaceae,,Didier's tulip,"Asia Temperate, Europe",Forb/Herb,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 7, 2017",0,
Turnera ulmifolia,Turneraceae,,"Ramgoat dashalong, yellow alder, yellow elder","Central America, North America-Mexico, South America","Shrub, Subshrub",1913,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012May 28, 2015",12,
Ulmus parvifolia,Ulmaceae,,"Chinese elm, lacebark elm","Asia Temperate, Asia Tropical",Tree,1964,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 1, 2016",3,
Urena lobata,Malvaceae,,Caesar's weed,"Asia Temperate, Asia Tropical, Australasia, Central America, South America",Subshrub,1877,Status Assessment,N/A,Invasive,Invasive,Invasive,"Jan 1, 2003May 26, 2015",39,
Urochloa distachya ,Poaceae,"Brachiaria subquadripara, Urochloa subquadripara","Signal grass, tropical signalgrass",Asia Tropical,Graminoid,1965,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 7, 2017",23,
Urochloa humidicola,Poaceae,"Brachiaria humidicola, Panicum humidicola","creeping signal grass, koronivia grass, tully",Africa,Graminoid,,Predictive Tool,13,High Invasion Risk,High Invasion Risk,High Invasion Risk,23-Jan-15,3,
Urochloa maxima,Poaceae,"Panicum maximum, Megathyrsus maximus",Guineagrass,"Africa, Asia Temperate",Graminoid,1958,Status Assessment,N/A,Caution,Caution,Invasive (No Uses),"Jan 1, 2006Jan 1, 2012Dec 15, 2016",40,
Urochloa mutica,Poaceae,Brachiaria mutica,"Para grass, buffalo grass",Unknown,Graminoid,1920,Status Assessment,N/A,Invasive (No Uses),Invasive (No Uses),Invasive (No Uses),"Jan 1, 2005May 22, 2015",25,
Urochloa panicoides,Poaceae,,"Liverseed grass, panic liverseed grass, sharp-flower signal grass","Africa, Asia Temperate, Asia Tropical",Graminoid,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Urochloa ramosa,Poaceae,Panicum ramosum,"Browntop millet, Dixie signalgrass","Africa, Asia Temperate, Asia Tropical",Graminoid,1943,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 7, 2017",35,
Vangueria madagascariensis,Rubiaceae,Vangueria edulis,Voa vanga,Africa,"Shrub, Tree",,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 25, 2018",0,
Veitchia merrillii,Arecaceae,Adonidia merrillii,"Christmas palm, Manila palm",Asia Tropical,Tree,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 1, 2016",0,
Verbena incompta,Verbenaceae,"Verbena bonariensis, Verbena bonariensis var brevibracteata, Verbena litoralis var brevibracteata","Purple verbena, purpletop vervain",South America,"Forb/Herb, Subshrub",1928,Status Assessment,N/A,Not a problem species (documented),Not a problem species (documented),Not a problem species (documented),"Jan 1, 2007Jul 14, 2017",30,
Verbena rigida,Verbenaceae,,"Tuberous vervain, veined verbena, vervain",South America,Forb/Herb,1967,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 7, 2017",10,
Viburnum odoratissimum,Adoxaceae,,Sweet viburnum,"Asia Temperate, Asia Tropical",Shrub,1998,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 22, 2015",0,
Viburnum suspensum,Caprifoliaceae,,"Sandankwa viburnum, viburnum",Asia Temperate,Shrub,1988,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 22, 2015",0,
Viburnum tinus,Caprifoliaceae,,"Laurustinus, laurestinus viburnum","Africa, Asia Temperate, Europe",Shrub,2007,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 22, 2015",0,
Vicia grandiflora,Fabaceae,,Large yellow vetch,"Asia Temperate, Europe","Forb/Herb, Vine",1980,Status Assessment,7,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 7, 2017",3,
Vicia villosa,Fabaceae,,"Hairy vetch, winter vetch","Africa, Asia Temperate, Europe","Forb/Herb, Vine",1955,Predictive Tool,18,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,10,
Vinca major,Apocynaceae,,Bigleaf periwinkle,"Asia Temperate, Europe","Forb/Herb, Vine",,Predictive Tool,15,High Invasion Risk,High Invasion Risk,High Invasion Risk,16-Oct-18,1,
Vinca minor,Apocynaceae,,"Common periwinkle, lesser periwinkle, myrtle,  periwinkle","Asia Temperate, Europe","Forb/Herb, Vine",,Status Assessment,10,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 1, 2016",1,
Vitex agnus-castus,Lamiaceae,,"Chastetree, lilac chastetree, vitex","Africa, Asia Temperate, Europe","Shrub, Tree",1919,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 7, 2017",8,
